Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-09-15 19:27:00,Running,,2.85,13:30,4:44,12.67,153.0,3,,,2014-09-15-1927.gpx
2014-09-14 17:23:00,Walking,,4.00,45:00,11:15,5.33,145.0,0,,,
2014-09-12 20:08:00,Running,,8.45,1:02:00,7:20,8.18,464.0,0,,,
2014-09-11 19:20:00,Running,"Bayview",5.17,30:05,5:49,10.31,277.0,23,,,2014-09-11-1920.gpx
2014-09-08 19:18:00,Running,,5.17,31:16,6:03,9.92,278.0,23,,,2014-09-08-1918.gpx
2014-09-07 23:00:00,Running,,1.62,18:00,11:05,5.42,56.0,2,,,2014-09-07-2300.gpx
2014-09-07 22:15:00,Running,,5.22,33:58,6:30,9.22,285.0,24,,,2014-09-07-2215.gpx
2014-09-04 17:09:00,Running,,2.10,15:00,7:09,8.40,121.0,0,,,
2014-09-03 18:50:00,Running,,2.97,18:49,6:20,9.48,158.0,1,,,2014-09-03-1850.gpx
2014-08-31 19:31:23,Running,,3.52,29:39,8:25,7.13,159.0,23,,,2014-08-31-1931.gpx
2014-08-31 19:26:51,Running,,1.10,5:34,5:04,11.83,60.0,10,,,2014-08-31-1926.gpx
